doc_id,score_disparity
203,0.21814432108348863
116,0.14845370384270284
206,0.09972478981942595
205,0.08291122083235616
58,-0.06463145662369638
204,-0.08397109609795153
65,-0.10864532276143615
97,-0.11348101973226389
250,-0.14176929135160668
6,-0.14723924175353392
86,-0.15588017947908522
46,-0.1740545000172895
267,-0.22382423363562814
91,-0.2517022856327827
223,-0.2519720855580384
144,-0.2532586489841482
290,-0.25343792795930653
281,-0.2556093718159165
265,-0.26356003577532455
11,-0.26527319644989855
264,-0.28442190456710353
42,-0.2950758563146546
147,-0.3024886542266369
214,-0.31840634287285274
319,-0.3237282813633996
197,-0.32415537188486854
301,-0.3274079628543849
271,-0.32915319985359354
279,-0.33299564514160374
159,-0.3362087448307369
70,-0.33987093111493555
277,-0.3401824532303731
142,-0.34624972194903814
361,-0.35203710624506324
64,-0.3521944122038192
2,-0.35582484799709935
298,-0.35708126928321926
148,-0.3616852879023219
235,-0.362804102019532
198,-0.3669950632523485
329,-0.3704107046512932
314,-0.3718296785826138
196,-0.3739510313361608
241,-0.37396386361711714
202,-0.3784748280289381
68,-0.37868810301300554
127,-0.3831430314064411
211,-0.3851612429493512
72,-0.38824088617543623
231,-0.38865695673164113
39,-0.3926341415277585
129,-0.39473439530441234
262,-0.3948204794662642
173,-0.3955781863504695
364,-0.39580467845791933
56,-0.39799448192959297
217,-0.39948616562174744
270,-0.4068833270446053
338,-0.4069617447441283
386,-0.40699129160504943
141,-0.410350101906941
315,-0.4105087693546001
261,-0.4115383507102272
143,-0.4120236293919891
193,-0.4120749751405943
103,-0.4121112546439266
374,-0.4122445474103763
78,-0.4152874589621828
187,-0.4193036720072625
32,-0.41947546802037355
66,-0.4212855838776196
45,-0.4239790939586522
220,-0.42483683784432014
95,-0.42699208388842
282,-0.4272044424395663
359,-0.4280356234423266
393,-0.4294370130424215
5,-0.43008173107186287
246,-0.4314590127472553
252,-0.4315446293391364
313,-0.43318008301035804
260,-0.4360860877870989
209,-0.43718656314258575
162,-0.4406590114838573
242,-0.44263070337898835
55,-0.44508290945480783
177,-0.4471134647172165
355,-0.44774030477418325
67,-0.44852664255545943
375,-0.4486456881874803
226,-0.4490671900794289
294,-0.4502844887480559
82,-0.4518553442722433
398,-0.45322505971432925
275,-0.4532951834425081
232,-0.4542146834612203
60,-0.4545233226974729
236,-0.4549400434443471
342,-0.4550012667320079
79,-0.45536406287982895
